Лог сопоставления главы 10 (прямой построчный режим)
Китайских строк: 40, русских строк: 40
Проблем найдено: 0
======================================================================

#1
  ZH [11.19 - 14.21]  10.如果没有你
  RU [218.81 - 227.38]  На этот раз Хуан Сяомин обрадовался ещё больше. Он не думал, что вчера он всё ещё был вором и ещё украл один кошелёк,

#28
  ZH [194.26 - 200.2]  今天，他和他的小偷朋友们——当然，还有一只眼睛的小三儿，
  RU [230.05 - 235.52]  а сегодня он и его друзья-воры — конечно, ещё и Сяо Сань с одним глазом,

#29
  ZH [200.22 - 204.0]  他们的新生活就要开始了！
  RU [237.62 - 240.17]  их новая жизнь вот-вот начнётся!

#30
  ZH [204.6 - 211.0]  从警察那里出来，夏雨问黄小明：“以后你打算怎么办？”
  RU [242.6 - 248.37]  Выйдя от полицейских, Ся Юй спросила Хуан Сяомина: «Что ты собираешься делать дальше?»

#31
  ZH [212.0 - 214.0]  黄小明笑着说：
  RU [250.93 - 253.85]  Хуан Сяомин, улыбаясь, сказал:

#32
  ZH [214.21 - 220.66]  “如果没有你，我这个小偷里的‘大哥’真不知道以后会怎么样。
  RU [255.64 - 262.8]  «Если бы не ты, я, этот “старший брат” среди воров, действительно не знаю, что будет дальше.

#33
  ZH [220.69 - 227.91]  现在有了你，我一定会做一个好人！对了，你不是说我很像警察吗，
  RU [265.1 - 274.38]  Теперь, когда есть ты, я обязательно стану хорошим человеком! Кстати, разве ты не говорила, что я очень похож на полицейского,

#34
  ZH [227.97 - 236.0]  那，我就好好学习，以后参加警察学校的考试！这就叫从小偷到警察！”
  RU [277.33 - 286.78]  Тогда я буду хорошо учиться, а потом приму участие во вступительном экзамене в полицейскую школу! Вот это называется: от вора до полицейского!»

#35
  ZH [236.95 - 243.0]  这样说着的时候，几辆警察的汽车很快地开了回来。
  RU [289.21 - 293.53]  Пока он так говорил, несколько полицейских машин быстро вернулись.

#36
  ZH [243.62 - 248.29]  黄小明和夏雨看见，车里有好几个警察，
  RU [295.69 - 300.52]  Хуан Сяомин и Ся Юй увидели, что в машине было несколько полицейских,

#37
  ZH [248.32 - 253.43]  还有那个特别有钱的男人和那两个穿黑衣服的男人，
  RU [302.85 - 307.72]  а ещё тот очень богатый мужчина и те два мужчины, одетые в чёрную одежду,

#38
  ZH [253.61 - 259.0]  他们三个看着黄小明和夏雨，非常地不高兴。
  RU [310.18 - 314.75]  Эти трое смотрели на Хуан Сяомина и Ся Юй, очень недовольные.

#39
  ZH [259.93 - 268.23]  黄小明和夏雨高兴地大笑起来。笑了一会儿，黄小明和夏雨才看见，
  RU [316.92 - 325.95]  Хуан Сяомин и Ся Юй радостно громко рассмеялись. Посмеявшись некоторое время, Хуан Сяомин и Ся Юй только тогда увидели,

#40
  ZH [268.25 - 274.61]  他们的手，不知道什么时候已经拉在一起了……
  RU [328.05 - 332.26]  что их руки, неизвестно когда, уже держались вместе…
