Лог сопоставления главы 02 (прямой построчный режим)
Китайских строк: 52, русских строк: 52
Проблем найдено: 0
======================================================================

#1
  ZH [2.03 - 6.0]  2.一只眼睛的小三儿
  RU [309.17 - 316.76]  Всё, что сделал Саньэр, Хуан Сяомин увидел, он был очень недоволен и как летящий побежал туда, к Саньэру.

#37
  ZH [302.4 - 308.0]  今天,我一定要让他知道,学生的钱是不能偷的。
  RU [318.77 - 323.76]  Сегодня я обязательно заставлю его понять: деньги студентов нельзя красть.

#38
  ZH [308.49 - 318.0]  黄小明跑得快极了,像和小三儿比赛一样,不到五分钟,小三儿就累得不行了。
  RU [325.96 - 334.49]  Хуан Сяомин бежал чрезвычайно быстро, словно соревновался с Саньэром, не прошло и пяти минут, как Саньэр уже устал до невозможности.

#39
  ZH [318.78 - 321.51]  把钱包送回去。
  RU [336.68 - 338.61]  Верни кошелёк обратно.

#40
  ZH [321.76 - 327.0]  黄小明的脸冷冷地,他不客气地对小三儿说。
  RU [340.04 - 344.85]  Лицо Хуан Сяомина было холодным, он без церемоний сказал Саньэру.

#41
  ZH [327.48 - 333.0]  记着,以后再偷学生的钱,我看见一次,打你一次。
  RU [346.72 - 353.61]  Запомни: в будущем ещё раз украдёшь деньги студента — я увижу один раз, побью тебя один раз.

#42
  ZH [333.22 - 340.0]  小三儿不高兴地慢慢拿出钱包,跟着黄小明往回走。
  RU [355.77 - 360.92]  Саньэр недовольно медленно достал кошелёк и пошёл обратно вслед за Хуан Сяомином.

#43
  ZH [340.19 - 351.15]  他很不想这样做,不过他又很怕黄小明,因为黄小明在小偷里边很有名,很会偷东西,
  RU [362.78 - 372.4]  Он очень не хотел так делать, но при этом он очень боялся Хуан Сяомина, потому что среди воров Хуан Сяомин был очень известен, очень умел красть вещи,

#44
  ZH [351.19 - 353.0]  还一点儿都不怕事。
  RU [374.36 - 377.44]  И к тому же совсем не боялся неприятностей.

#45
  ZH [353.55 - 364.14]  黄小明习惯到火车站、飞机场去偷,那里有钱的人很多,一些要上火车或者要上飞机的人,
  RU [379.69 - 390.52]  Хуан Сяомин привык ходить красть на железнодорожный вокзал и в аэропорт, там очень много людей с деньгами, некоторые люди, которые собираются сесть на поезд или собираются сесть на самолёт,

#46
  ZH [364.14 - 369.44]  还有刚下火车或者刚下飞机的人,都有不少钱
  RU [392.77 - 399.49]  а также люди, которые только что вышли из поезда или только что вышли из самолёта, у всех есть немало денег

#47
  ZH [369.81 - 381.0]  他还常常到大商店去,那里有钱的人更多,在那里他可以找机会偷到有钱人的钱包。
  RU [401.69 - 410.27]  Он ещё часто ходит в большие магазины, там людей с деньгами ещё больше, там он может найти возможность украсть кошельки богатых людей.

#48
  ZH [381.49 - 390.25]  看见那些没有饭吃、没有衣服穿的小孩儿和老人,还有那些没偷到钱的小偷朋友,
  RU [412.01 - 420.49]  Увидев тех детей и стариков, которым нечего есть и нечего надеть, а также тех друзей-воров, которые не смогли украсть деньги,

#49
  ZH [390.25 - 393.01]  他还常常给他们一些钱。
  RU [422.29 - 425.09]  Он ещё часто даёт им немного денег.

#50
  ZH [393.5 - 403.0]  所以,很多小偷都觉得他好,几个比他大的小偷也叫他大哥,很听他的话。
  RU [426.81 - 434.41]  Поэтому многие воры считают его хорошим, несколько воров постарше него тоже называют его старшим братом и очень слушаются его.

#51
  ZH [403.38 - 415.87]  现在,小三儿刚偷到钱包就被黄小明看见了,小三儿很不高兴,他跟在黄小明后边慢慢地走回来,
  RU [436.89 - 446.38]  Теперь Саньэр только что украл кошелёк, как его уже увидел Хуан Сяомин, Саньэр был очень недоволен, он медленно шёл обратно позади Хуан Сяомина,

#52
  ZH [415.87 - 420.14]  把手里的钱包还给了那个女孩。
  RU [448.22 - 452.86]  И вернул кошелёк, который был у него в руке, той девушке.
