Лог сопоставления главы 03 (прямой построчный режим)
Китайских строк: 70, русских строк: 70
Проблем найдено: 0
======================================================================

#1
  ZH [3.35 - 8.0]  3.我觉得你特别像警察。
#16
  ZH [91.45 - 99.0]  啊,黄晓明,很好听的名字,你知道去明天音乐大学怎么走吗?
  RU [105.38 - 113.38]  А, Хуан Сяомин. Очень красивое имя. Ты знаешь, как добраться до музыкального университета?

#17
  ZH [99.15 - 102.0]  夏宇跟黄晓明刚刚认识,
  RU [114.82 - 118.85]  Ся Юй только что познакомилась с Хуан Сяомином,

#18
  ZH [102.2 - 107.0]  但是他觉得黄晓明已经是自己的朋友了。
  RU [120.54 - 124.43]  но ей уже казалось, что он стал её другом.

#19
  ZH [107.31 - 116.0]  听见那个音乐大学的名字,站在他们旁边的小三注意地看了看夏宇。
  RU [126.21 - 133.68]  Услышав название музыкального университета, Сяо Саньэр, стоявший рядом с ними, внимательно посмотрел на Ся Юй.

#20
  ZH [116.45 - 122.72]  明天音乐大学?我知道。 黄晓明高兴地说。
  RU [134.9 - 141.06]  Музыкальный университет? Я знаю. — радостно сказал Хуан Сяомин.

#21
  ZH [122.95 - 129.39]  我带你去,能上那家音乐大学,你唱歌一定唱得特别好。
  RU [143.2 - 151.81]  Я тебя провожу. Если ты можешь поступить в этот музыкальный университет, значит, ты наверняка очень хорошо поёшь.

#22
  ZH [130.05 - 135.0]  黄晓明觉得夏宇说话就像唱歌一样好听。
  RU [153.28 - 159.26]  Хуан Сяомину казалось, что Ся Юй говорит так красиво, словно поёт.

#23
  ZH [135.05 - 143.0]  黄晓明,你是我到北京以后认识的第一个人,真的,认识你真高兴。
  RU [160.65 - 170.54]  Хуан Сяомин, ты первый человек, с которым я познакомилась после приезда в Пекин. Правда, я очень рада, что встретила тебя.

#24
  ZH [143.35 - 151.0]  夏宇这样说的时候,眼睛热热的一直看着黄晓明。
  RU [172.54 - 179.22]  Когда Ся Юй говорила это, её глаза были полны тепла, и она неотрывно смотрела на Хуан Сяомина.

#25
  ZH [151.05 - 156.0]  长到16岁,他还没有和一个女孩子站得这么近,
  RU [181.29 - 185.72]  За все свои шестнадцать лет он ещё ни разу не стоял так близко к девушке,

#26
  ZH [156.4 - 161.0]  也没有一个女孩子这样看着他的眼睛和他说话。
  RU [187.91 - 193.36]  и ни одна девушка ещё никогда не смотрела ему прямо в глаза и не разговаривала с ним так.

#27
  ZH [161.65 - 169.0]  这次黄晓明是真的紧张了,他很怕夏宇看出他的紧张,
  RU [195.5 - 203.18]  На этот раз Хуан Сяомин действительно занервничал. Он очень боялся, что Ся Юй заметит его волнение,

#28
  ZH [169.03 - 178.0]  就很快地拿起夏宇的行李,行李很重,但是黄晓明走得很快。
  RU [205.35 - 212.3]  поэтому быстро поднял её багаж. Багаж был тяжёлым, но Хуан Сяомин шёл очень быстро.

#29
  ZH [178.85 - 181.0]  快点走吧,路不近呢。
  RU [213.73 - 217.37]  Пойдём быстрее, дорога неблизкая.

#30
  ZH [181.36 - 190.0]  看着黄晓明和夏宇走远了,听不见了,小三才很不高兴地叫着说。
  RU [218.85 - 226.1]  Когда Хуан Сяомин и Ся Юй отошли далеко и их уже не было слышно, Сяо Саньэр только тогда сердито крикнул:

#31
  ZH [190.25 - 192.37]  姓黄的,你等着。
  RU [228.13 - 231.08]  Эй, Хуан, ты ещё у меня попляшешь.

#32
  ZH [192.85 - 199.0]  上公共汽车的人比较多,黄晓明买了票和夏宇站在后门那里。
  RU [232.99 - 239.88]  В автобусе было довольно много людей, поэтому Хуан Сяомин купил билеты и вместе с Ся Юй встал у задней двери.

#33
  ZH [199.75 - 208.09]  这个地方很好,可以很方便地给夏宇介绍路边上的大商店和大公司。
  RU [241.53 - 249.38]  Это было очень удобное место: отсюда он мог легко показывать Ся Юй большие магазины и крупные компании вдоль дороги.

#34
  ZH [208.3 - 214.0]  一个男人从他们旁边走过,站到一个老奶奶旁边,
  RU [251.67 - 255.6]  Какой-то мужчина прошёл мимо них и встал рядом с пожилой женщиной,

#35
  ZH [214.35 - 222.0]  一看他站得和老奶奶那么近,黄晓明马上知道他想要做什么。
  RU [257.84 - 264.36]  и, увидев, насколько близко он к ней стоит, Хуан Сяомин сразу понял, что тот собирается сделать.

#36
  ZH [223.05 - 227.0]  "看见那个男人了吗?"他对夏宇说。
  RU [265.93 - 270.74]  «Видишь того мужчину?» — сказал он Ся Юй.

#37
  ZH [227.7 - 232.0]  "看,看,他就要偷那个老奶奶的东西了。"
  RU [272.64 - 276.52]  «Видишь? Он сейчас украдёт что-нибудь у той бабушки».

#38
  ZH [232.7 - 239.0]  "啊,真的?"黄晓明这样一说,夏宇也看见了。
  RU [279.09 - 285.23]  «А? Правда?» После слов Хуан Сяомина Ся Юй тоже заметила его.

#39
  ZH [239.5 - 247.0]  "怎么办,你有办法吗?"他很快地问。 "不知道,让我试试。"
  RU [287.18 - 296.18]  «Что делать? Ты можешь что-нибудь сделать?» — быстро спросила она. «Не знаю. Дай попробую».

#40
  ZH [247.19 - 256.0]  因为车上人很多,那个男人动了动身体,就把老奶奶的钱包放到了自己的衣服里,
  RU [297.01 - 304.93]  Поскольку в автобусе было много людей, мужчина пошевелился и вытащил кошелёк старушки, спрятав его в свою одежду,

#41
  ZH [256.55 - 260.0]  然后很快地往后门走去。
  RU [306.71 - 309.6]  а затем быстро направился к задней двери.

#42
  ZH [260.55 - 266.0]  公共汽车慢下来,快要近站停车了。
  RU [311.17 - 315.54]  Автобус замедлился и уже почти подъезжал к остановке.

#43
  ZH [266.5 - 273.0]  就在那男人从黄晓明旁边走过,到后门准备下车的时候,
  RU [317.31 - 323.48]  И вот, когда мужчина проходил мимо Хуан Сяомина и собирался выйти через заднюю дверь,

#44
  ZH [273.55 - 281.0]  谁也没看见是怎么回事,那个钱包已经到了黄晓明的衣服里。
  RU [324.68 - 330.01]  никто не заметил, как кошелёк уже оказался в одежде Хуан Сяомина.

#45
  ZH [281.65 - 289.0]  那个男人下去以后,公共汽车的门关上了,公共汽车又开起来。
  RU [331.21 - 337.23]  Мужчина вышел, двери автобуса закрылись, и автобус снова тронулся.

#46
  ZH [289.6 - 296.0]  黄晓明走到老奶奶身后,钱包又回到了老奶奶衣服里。
  RU [338.48 - 343.88]  Хуан Сяомин подошёл сзади к старушке и снова положил кошелёк в её одежду.

#47
  ZH [296.75 - 301.0]  钱包离开老奶奶一共只有几分钟。
  RU [345.52 - 350.42]  Всего кошелёк отсутствовал у старушки лишь несколько минут.

#48
  ZH [301.3 - 307.0]  老奶奶站在那儿,拿着一张报纸,一本杂志,还有一些菜,
  RU [351.52 - 356.96]  Старушка стояла там, держа газету, журнал и ещё немного овощей,

#49
  ZH [307.5 - 312.0]  眼睛一动不动地看着外面,什么都不知道。
  RU [359.12 - 362.54]  неподвижно смотрела в окно и ничего не знала.

#50
  ZH [312.77 - 318.0]  "啊,你真行!"夏宇高兴地叫起来。
  RU [364.2 - 369.7]  «Вот это да, ты действительно умеешь!» — радостно воскликнула Ся Юй.

#51
  ZH [319.2 - 326.0]  帮老奶奶拿回了钱包,还让夏宇这么高兴,黄晓明觉得很愉快。
  RU [371.72 - 378.22]  Хуан Сяомин был очень доволен: он помог старушке вернуть кошелёк и к тому же так обрадовал Ся Юй.

#52
  ZH [326.7 - 333.0]  他有点不好意思地说,"没什么,知道吗?这是我的工作啊。"
  RU [380.23 - 387.29]  Он немного смущённо сказал: «Ничего особенного. Знаешь? Это моя работа».

#53
  ZH [333.75 - 336.0]  "我觉得你特别像警察。"
  RU [388.98 - 392.56]  «Мне кажется, ты очень похож на полицейского».

#54
  ZH [336.0 - 343.0]  "别,别,最好别跟我说警察。"黄晓明半开玩笑地说。
  RU [395.13 - 401.97]  «Не надо, не надо. Лучше не говори мне о полиции», — полушутя сказал Хуан Сяомин.

#55
  ZH [344.0 - 350.41]  "啊,我知道了,你一定是有空就出来做好事的人。
  RU [403.63 - 411.18]  «А, я поняла. Ты, наверное, из тех людей, которые в свободное время выходят делать добрые дела.

#56
  ZH [350.62 - 358.0]  我听说过,北京有一些这样的年轻人。对了,你也是学生吧?"
  RU [413.23 - 419.75]  Я слышала о таких молодых людях в Пекине. Кстати, ты ведь тоже студент?»

#57
  ZH [358.75 - 364.0]  黄晓明的脸一下子红了,他不知道怎么说才好。
  RU [421.85 - 427.46]  Лицо Хуан Сяомина мгновенно покраснело, и он не знал, что ответить.

#58
  ZH [364.45 - 371.0]  想了一下,他很快地说,"不是,我在一家公司工作。"
  RU [429.29 - 435.11]  Подумав немного, он быстро сказал: «Нет, я работаю в одной компании».

#59
  ZH [371.45 - 379.0]  他往旁边看去,他说的不是真话,所以他怕看夏宇的眼睛。
  RU [435.8 - 443.8]  Он посмотрел в сторону. Он сказал неправду, поэтому боялся смотреть Ся Юй в глаза.

#60
  ZH [379.35 - 384.0]  走进音乐大学的大门,黄晓明一下子不走了。
  RU [444.76 - 451.57]  Когда они вошли через ворота музыкального университета, Хуан Сяомин вдруг остановился.

#61
  ZH [384.85 - 392.0]  黄晓明只上过三年学,这是他第一次走进大学的门。
  RU [453.61 - 460.04]  Хуан Сяомин учился всего три года, и это был первый раз, когда он вошёл в университет.

#62
  ZH [392.8 - 399.51]  音乐大学很大,也很漂亮,夏天的音乐大学就像风景画。
  RU [462.13 - 468.93]  Музыкальный университет был большим и красивым, а летом он напоминал картину с прекрасным пейзажем.

#63
  ZH [399.95 - 407.0]  黄晓明和夏宇像参观一样在学校里慢慢地走,慢慢地看。
  RU [470.9 - 477.91]  Хуан Сяомин и Ся Юй медленно гуляли по университету, словно осматривая достопримечательности.

#64
  ZH [407.65 - 414.73]  大学里有一些新楼很高很大,还有一些旧房子比较小。
  RU [480.1 - 486.32]  В университете были новые здания — высокие и большие, а были и старые, поменьше.

#65
  ZH [414.97 - 426.0]  有人在这些楼的旁边玩,几个男学生在打篮球,也有人在做别的运动,还有人在教室里唱歌。
  RU [487.92 - 497.66]  Рядом с этими зданиями кто-то отдыхал, несколько студентов играли в баскетбол, другие занимались разными видами спорта, а кто-то пел в аудитории.

#66
  ZH [426.7 - 433.0]  黄晓明觉得大学里有那么一种东西叫人觉得很舒服。
  RU [499.53 - 506.6]  Хуан Сяомин чувствовал, что в университете есть что-то такое, от чего человеку становится очень хорошо.

#67
  ZH [433.45 - 444.0]  这种东西虽然看不见,但是你能知道,就像夏宇那种从里到外的干净一样,这让黄晓明很喜欢。
  RU [508.68 - 521.82]  Этого нельзя увидеть, но это можно почувствовать. Это было похоже на ту чистоту Ся Юй, которая исходила от неё изнутри и снаружи. Именно это так нравилось Хуан Сяомину.

#68
  ZH [444.4 - 452.0]  黄晓明想,大学真是个好地方,我要是也能上大学,那多好啊。
  RU [523.91 - 533.15]  Хуан Сяомин подумал: «Университет — действительно хорошее место. Как было бы здорово, если бы я тоже мог учиться в университете».

#69
  ZH [452.0 - 457.0]  16年来,黄晓明第一次这样想。
  RU [535.71 - 540.06]  За все свои шестнадцать лет Хуан Сяомин впервые подумал об этом.

#70
  ZH [459.0 - 467.0]  这天晚上,想着夏宇,想着大学,黄晓明第一次不能很好地睡觉。
  RU [541.99 - 548.76]  В тот вечер, думая о Ся Юй и об университете, Хуан Сяомин впервые не мог нормально уснуть.
