Лог сопоставления главы 07 (прямой построчный режим)
Китайских строк: 100, русских строк: 100
Проблем найдено: 0
======================================================================

#1
  ZH [2.37 - 4.78]  七.我是小偷...
  RU [118.26 - 125.26]  велела шедшей сзади служанке нести, потом пошла в соседний магазин и купила большой пакет фруктов и вина,

#20
  ZH [101.17 - 104.0]  也叫那个女服务员拿着。
  RU [127.14 - 129.5]  тоже велела той служанке нести.

#21
  ZH [104.0 - 112.0]  他买完东西又去洗照片,大概长得好看的女人都喜欢拍照片吧。
  RU [131.7 - 139.89]  Она, закончив покупать вещи, снова пошла проявлять фотографии, наверное, красивые женщины все любят фотографироваться, да?

#22
  ZH [112.0 - 115.75]  然后他走进书店买电影杂志。
  RU [142.04 - 145.72]  Затем она вошла в книжный магазин купить журналы о кино.

#23
  ZH [115.79 - 120.0]  他走得很快,谁都不看,眼睛看着天。
  RU [147.76 - 152.68]  Она шла очень быстро, ни на кого не смотрела, глазами смотрела на небо.

#24
  ZH [120.37 - 124.0]  黄晓明很不喜欢这个女人。
  RU [155.04 - 157.6]  Хуан Сяомин очень не любил эту женщину.

#25
  ZH [124.0 - 130.5]  这个女人在给了钱等着开票的时候,拿出手机开始打电话。
  RU [159.85 - 166.36]  Эта женщина, дав деньги и ожидая, когда выпишут чек, достала мобильный телефон и начала звонить.

#26
  ZH [130.75 - 139.0]  黄晓明清楚,这个时间很好,就一点不客气地偷走了他的钱包。
  RU [168.42 - 175.36]  Хуан Сяомин ясно понимал: это время очень подходящее, и совсем не церемонясь украл её кошелёк.

#27
  ZH [139.0 - 145.0]  在那家书店,夏宇买到了他想要的英汉词典。
  RU [176.64 - 183.21]  В том книжном магазине Ся Юй купила тот англо-китайский словарь, который она хотела.

#28
  ZH [145.0 - 150.92]  就在他们拿着词典高高兴兴从书店出来的时候,
  RU [185.16 - 189.96]  Именно когда они, держа словарь, радостно выходили из книжного магазина,

#29
  ZH [150.92 - 156.0]  黄晓明一下子看见了那两个高大的男人。
  RU [192.36 - 195.98]  Хуан Сяомин вдруг увидел тех двух высоких мужчин!

#30
  ZH [156.0 - 162.84]  已经过了好几个小时,他们好像很热也很累,除了一只眼睛的小三,
  RU [197.52 - 203.95]  Уже прошло несколько часов, им, кажется, было очень жарко, и они также очень устали.

#31
  ZH [162.84 - 169.0]  没有人知道我喜欢到这里来偷东西,一定是小三告诉他们的。
  RU [205.83 - 216.69]  «А, кроме Сяо Сань с одним глазом, никто не знает, что я люблю приходить сюда воровать вещи, наверняка это Сяо Сань сказал им!» — подумал Хуан Сяомин.

#32
  ZH [169.0 - 175.77]  黄晓明想,这个时候,那两个男人刚从一家商店走出来,
  RU [217.8 - 222.91]  В это время те два мужчины только что вышли из одного магазина.

#33
  ZH [175.77 - 181.51]  就在黄晓明看见他们的时候,他们也看见了黄晓明。
  RU [224.56 - 230.38]  Именно в тот момент, когда Хуан Сяомин увидел их, они тоже увидели Хуан Сяомина!

#34
  ZH [181.69 - 187.0]  快抓他呀,他是小偷。 他们大叫着跑过来。
  RU [232.44 - 238.47]  «Быстро хватайте его, он вор!» — они, громко крича, побежали сюда.

#35
  ZH [187.0 - 193.74]  黄晓明知道事情不好,他很快地对夏宇说,不要跟着我,
  RU [240.36 - 246.27]  Хуан Сяомин понял, что дело плохо, он быстро сказал Ся Юй: «Не следуй за мной!»

#36
  ZH [193.76 - 197.0]  说完就飞一样地跑起来。
  RU [248.32 - 251.79]  Сказав это, сразу побежал словно летящий.

#37
  ZH [197.0 - 202.0]  可是夏宇没有听他的,一直跟着他一起跑。
  RU [253.67 - 258.84]  Но Ся Юй не послушала его, всё время следовала за ним и бежала вместе с ним.

#38
  ZH [202.0 - 206.0]  黄晓明没办法,就带着夏宇一起跑。
  RU [261.08 - 265.48]  Хуан Сяомин ничего не мог сделать, поэтому побежал вместе с Ся Юй.

#39
  ZH [206.0 - 212.64]  黄晓明认识这里的路,他和夏宇从这个商店的北门跑进去,
  RU [267.84 - 274.85]  Хуан Сяомин знает дороги здесь. Он и Ся Юй вбежали через северные ворота этого магазина,

#40
  ZH [212.66 - 220.72]  又从西门跑出来,再从那个商店的大门跑进去,又从小门跑出来。
  RU [276.2 - 283.48]  снова выбежали через западные ворота; затем вбежали через большие ворота того магазина и снова выбежали через маленькие ворота...

#41
  ZH [220.79 - 226.0]  一会儿,那两个男人就找不到他们了。
  RU [285.8 - 289.48]  Через некоторое время те два мужчины уже не смогли найти их.

#42
  ZH [226.0 - 230.56]  看见夏宇累极了,黄晓明不跑了。
  RU [291.54 - 296.54]  Увидев, что Ся Юй крайне устала, Хуан Сяомин перестал бежать.

#43
  ZH [230.65 - 235.61]  为什么? 休息了一会儿,夏宇问。
  RU [298.36 - 301.55]  «Почему?» Немного отдохнув, Ся Юй спросила,

#44
  ZH [235.79 - 240.33]  告诉我,刚才他们为什么说你是小偷?
  RU [305.24 - 308.76]  «Скажи мне, почему только что они сказали, что ты вор?»

#45
  ZH [240.43 - 245.0]  黄晓明的脸红极了,他不知道该怎么说。
  RU [311.44 - 316.71]  Лицо Хуан Сяомина стало очень красным, он не знал, как следует сказать.

#46
  ZH [245.0 - 251.0]  要是告诉夏宇自己是小偷,他还会和自己做朋友吗?
  RU [318.92 - 323.72]  Если сказать Ся Юй, что сам являешься вором, она ещё будет с ним дружить?

#47
  ZH [251.0 - 254.0]  他真怕再也看不见夏宇。
  RU [325.96 - 329.96]  Он действительно боялся, что больше никогда не увидит Ся Юй.

#48
  ZH [254.0 - 260.82]  可是,对夏宇这样从里到外都那么干净的女孩,不说真话,
  RU [332.24 - 338.56]  Но с такой девушкой, как Ся Юй, которая изнутри до снаружи настолько чистая, не сказать правду...

#49
  ZH [261.28 - 269.0]  黄晓明想都不能想。 我,我是个坏男孩。
  RU [340.84 - 347.4]  Хуан Сяомин даже думать об этом не мог. «Я, я плохой мальчик...»

#50
  ZH [269.0 - 272.0]  黄晓明声音很小,很慢地说。
  RU [350.05 - 354.45]  Хуан Сяомин очень тихим голосом, очень медленно сказал.

#51
  ZH [272.0 - 277.0]  不,你错了! 夏宇叫起来。
  RU [356.12 - 358.79]  «Нет, ты ошибаешься!» — закричала Ся Юй,

#52
  ZH [277.0 - 282.61]  你是好人,昨天你帮助了我,还帮助了那个老奶奶。
  RU [362.35 - 367.41]  «Ты хороший человек, вчера ты помог мне, ещё помог той старой бабушке!»

#53
  ZH [282.8 - 287.0]  但是,我真的是小偷。
  RU [369.86 - 371.64]  «Но я действительно вор...»

#54
  ZH [287.0 - 291.0]  小偷两个字,黄晓明说得很难。
  RU [374.32 - 378.86]  Два слова «вор» Хуан Сяомин произнёс с большим трудом.

#55
  ZH [291.0 - 295.0]  说这句话的时候,他怕看夏宇的眼睛。
  RU [381.08 - 385.15]  Когда он говорил эту фразу, он боялся смотреть в глаза Ся Юй.

#56
  ZH [295.0 - 304.0]  夏宇一下子不说话了,他看着黄晓明眼睛里有很多说不出来的东西。
  RU [387.04 - 395.63]  Ся Юй вдруг перестала говорить, она смотрела на Хуан Сяомина, в её глазах было много вещей, которые невозможно было сказать.

#57
  ZH [304.0 - 308.2]  过了一会儿,他才慢慢地说。
  RU [397.8 - 400.92]  Через некоторое время она только медленно сказала:

#58
  ZH [308.22 - 312.0]  告诉我,为什么?
  RU [403.32 - 405.11]  «Скажи мне, почему?»

#59
  ZH [312.0 - 320.0]  听见他这样问,黄晓明的眼睛里,一下子有了很多很多的泪水。
  RU [406.52 - 413.57]  Услышав, как она так спросила, в глазах Хуан Сяомина вдруг появилось очень-очень много слёз.

#60
  ZH [320.0 - 324.38]  没有了爸爸妈妈以后,他一直没有这样过。
  RU [416.04 - 420.42]  После того как не стало папы и мамы, с ним всё время такого не было.

#61
  ZH [324.55 - 329.0]  他一下子觉得身上又冷又累。
  RU [420.44 - 424.93]  Он вдруг почувствовал, что ему снова холодно и устало...

#62
  ZH [329.0 - 333.0]  他说出了自己的故事。
  RU [426.95 - 429.3]  Он рассказал свою историю.

#63
  ZH [333.0 - 342.33]  那是四年前的春天,黄晓明的爸爸妈妈都生病了,开始他们发烧,
  RU [430.87 - 438.73]  Это была весна четыре года назад, папа и мама Хуан Сяомина оба заболели, сначала у них поднялась температура,

#64
  ZH [342.41 - 348.0]  很像重感冒。 过了两天,肚子开始疼,特别疼。
  RU [441.16 - 446.76]  очень похоже на сильную простуду, через два дня живот начал болеть, особенно сильно,

#65
  ZH [348.0 - 353.0]  大夫给他们吃了一些药,他们的病还没有好。
  RU [449.32 - 453.39]  доктор дал им немного лекарств, их болезнь всё ещё не прошла,

#66
  ZH [353.0 - 356.0]  大夫就叫他们住进医院里。
  RU [455.71 - 459.15]  тогда доктор велел им поселиться в больнице.

#67
  ZH [356.0 - 363.0]  在医院里,他们一直发烧和肚子疼,医生又叫他们吃了很多药,
  RU [461.1 - 467.54]  В больнице у них всё время была температура и болел живот, врач снова велел им принимать много лекарств,

#68
  ZH [363.0 - 365.0]  可是还是没有好。
  RU [467.6 - 469.47]  но всё ещё не стало лучше,

#69
  ZH [365.0 - 372.0]  给他们看病的医生也没有办法了,没有多久,他们都死了。
  RU [471.89 - 478.59]  У врача, который лечил их, тоже уже не было способа, прошло немного времени, и они оба умерли.

#70
  ZH [372.0 - 378.0]  十二岁的黄晓明没有钱吃饭,更没有钱上学校学习。
  RU [480.91 - 487.31]  У 12-летнего Хуан Сяомина не было денег на еду, ещё больше не было денег ходить в школу учиться.

#71
  ZH [378.0 - 383.0]  听说北京很大,有很多可以挣钱的工作。
  RU [489.25 - 495.32]  Он слышал, что Пекин очень большой, есть много работ, на которых можно зарабатывать деньги,

#72
  ZH [383.0 - 388.0]  那年冬天,黄晓明就跟着几个人来到了北京。
  RU [497.88 - 501.96]  той зимой Хуан Сяомин вместе с несколькими людьми приехал в Пекин.

#73
  ZH [388.0 - 393.0]  但是他太小了,没有工作可以做。
  RU [504.4 - 509.04]  Но он был слишком маленьким, не было работы, которую можно было делать.

#74
  ZH [393.0 - 401.7]  那天,他早上和中午都没有吃饭,天气非常冷,黄晓明很想吃晚饭,
  RU [511.11 - 518.2]  В тот день он утром и в полдень не ел, погода была очень холодной, Хуан Сяомин очень хотел поужинать,

#75
  ZH [401.72 - 407.0]  但是他一块钱,不,他一分钱都没有。
  RU [520.34 - 525.08]  но у него не было одного юаня — нет, у него не было ни одной копейки...

#76
  ZH [407.0 - 414.0]  天快黑了,他坐在一个房子前边,肚子叫着,快要站不起来了。
  RU [527.52 - 534.0]  Небо скоро должно было потемнеть, он сидел перед одним домом, живот урчал, он уже почти не мог встать...

#77
  ZH [414.0 - 422.0]  两个老人看见了他,一个老奶奶,一个老爷爷,他们穿的衣服都很旧。
  RU [536.52 - 543.62]  Два старика увидели его: одна старая бабушка, один старый дедушка, одежда на них была очень старая.

#78
  ZH [422.0 - 429.41]  看见坐在地上的黄晓明,老奶奶不走了,对老爷爷说,"你看,
  RU [545.63 - 552.72]  Увидев Хуан Сяомина, сидящего на земле, старая бабушка перестала идти и сказала старому дедушке:

#79
  ZH [429.41 - 431.0]  那个孩子。"
  RU [554.8 - 556.72]  «Ты посмотри, тот ребёнок...»

#80
  ZH [431.0 - 439.86]  老爷爷也不走了,慢慢地看了看他,然后问,"你是谁家的孩子,
  RU [559.48 - 564.61]  Старый дедушка тоже перестал идти, медленно посмотрел на него, затем спросил:

#81
  ZH [439.86 - 442.0]  爸爸妈妈呢?"
  RU [566.92 - 570.85]  «Ты ребёнок из чьей семьи? Где папа и мама?»

#82
  ZH [442.0 - 450.0]  黄晓明慢慢地说,"我没有家了,爸爸妈妈都病死了。"
  RU [573.46 - 580.67]  Хуан Сяомин медленно сказал: «У меня больше нет дома. Папа и мама оба умерли от болезни...»

#83
  ZH [450.0 - 455.0]  黄晓明这样说着的时候,肚子又叫了起来。
  RU [583.2 - 587.04]  Когда Хуан Сяомин так говорил, живот снова заурчал.

#84
  ZH [455.0 - 463.81]  老爷爷一定听见了,他马上从一个小包里拿出一些吃的东西给了他。
  RU [589.23 - 596.05]  Старый дедушка наверняка услышал, он сразу достал из маленькой сумки немного съестных вещей и дал ему.

#85
  ZH [463.97 - 471.0]  这是只有小商店里才卖的东西,这种东西因为便宜,所以不太好吃,
  RU [598.48 - 605.76]  Это вещи, которые продаются только в маленьких магазинах, такие вещи, потому что дешёвые, поэтому не очень вкусные,

#86
  ZH [471.0 - 475.0]  只有钱少的人才会买这种东西吃。
  RU [608.04 - 613.37]  только люди, у которых мало денег, покупают такие вещи, чтобы есть.

#87
  ZH [475.0 - 482.0]  但是那一天,在黄晓明的眼睛里,这真是最好的东西。
  RU [615.88 - 621.15]  Но в тот день, в глазах Хуан Сяомина, это действительно были самые лучшие вещи!

#88
  ZH [482.0 - 485.49]  过了一会儿,老奶奶又回来了。
  RU [631.44 - 634.97]  Через некоторое время старая бабушка снова вернулась.

#89
  ZH [485.6 - 494.18]  这次,她从家里拿来一件冬天穿的衣服,对黄晓明说,"孩子,
  RU [637.48 - 643.81]  На этот раз она принесла из дома одежду, которую носят зимой, и сказала Хуан Сяомину: «Ребёнок,

#90
  ZH [494.18 - 505.0]  这衣服虽然旧了点儿,长了点儿,但是还挺干净,挺暖和,快点穿上吧。 "
  RU [646.08 - 653.44]  хотя эта одежда немного старая, немного длинная, но всё ещё довольно чистая, довольно тёплая, скорее надевай её».

#91
  ZH [505.0 - 512.0]  后来又有一些人看见他很小,没有东西吃,就给他帮助。
  RU [656.52 - 662.44]  Позже ещё некоторые люди увидели, что он очень маленький, ему нечего есть, и помогли ему.

#92
  ZH [512.0 - 516.54]  几天以后,黄晓明懂了,那些帮助他的人,
  RU [664.84 - 670.09]  Через несколько дней Хуан Сяомин понял: те люди, которые помогали ему,

#93
  ZH [516.54 - 523.0]  差不多都是像那两个老爷爷老奶奶一样,是没有多少钱的人。
  RU [672.16 - 679.28]  почти все были похожи на тех двух старого дедушку и старую бабушку, это были люди, у которых было не так много денег.

#94
  ZH [523.0 - 532.0]  所以黄晓明一直记着那些人,从开始偷东西到现在,他都不偷他们的钱。
  RU [681.8 - 688.68]  Поэтому Хуан Сяомин всё время помнил тех людей, с начала воровства и до настоящего времени он не крал их деньги.

#95
  ZH [532.0 - 542.0]  夏宇的眼睛里,也有了很多泪水,"咱们都是没有爸爸妈妈的孩子。"
  RU [690.44 - 697.54]  В глазах Ся Юй тоже появилось много слёз: «Мы все дети, у которых нет папы и мамы...»

#96
  ZH [542.0 - 546.05]  黄晓明又说了那个有钱的男人,
  RU [699.06 - 703.79]  Хуан Сяомин снова рассказал о том, как тот богатый мужчина

#97
  ZH [546.11 - 551.0]  要用一万块钱买回那个只有两千块钱的钱包的事。
  RU [703.81 - 707.06]  хотел за десять тысяч юаней выкупить тот кошелёк, в котором было только две тысячи юаней.

#98
  ZH [551.0 - 556.0]  夏宇觉得,这事儿好像什么地方不太对。
  RU [711.29 - 716.01]  Ся Юй почувствовала, что в этом деле как будто где-то что-то не совсем правильно...

#99
  ZH [556.0 - 564.39]  "咱们应该好好看看,那钱包里还有一些什么东西。" 他说。
  RU [718.65 - 725.31]  «Нам следует хорошенько посмотреть, какие ещё вещи есть в том кошельке?» — сказала она.

#100
  ZH [564.41 - 569.0]  他们一起回到黄晓明住的地方。
  RU [732.97 - 736.71]  Они вместе вернулись в место, где жил Хуан Сяомин.
